
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
2018-02-05;31.171,47;4632032202675;32.996,74;3291153855411;33.448,67;5258748282689;31.924,87;438469005973;30.324,84;834900238991;30.576,61;6910628500104
2018-02-06;31.066,46;4612400480971;32.890,57;3276547040116;33.327,11;5236402112999;31.808,33;436778747242;30.216,99;831437118101;30.466,57;6884031424417
2018-02-07;31.005,38;4601804722648;32.793,99;3265463999005;33.233,44;5219530675701;31.734,13;436061727847;30.154,70;829618275177;30.392,47;6869509995677
2018-02-08;30.924,00;4589812706090;32.716,26;3256517530620;33.161,54;5205759921737;31.655,76;434911743122;30.070,24;827343281599;30.321,18;6846407068533
2018-02-09;30.947,62;4596592504244;32.758,47;3256640292839;33.200,26;5209688563962;31.682,21;436513224409;30.105,59;828371802880;30.355,97;6849806829026
2018-02-10;30.947,62;4596592504244;32.758,47;3256640292839;33.200,26;5209688563962;31.682,21;436513224409;30.105,59;828371802880;30.355,97;6849806829026
2018-02-11;30.947,62;4596592504244;32.758,47;3256640292839;33.200,26;5209688563962;31.682,21;436513224409;30.105,59;828371802880;30.355,97;6849806829026
2018-02-12;30.907,73;4584417323055;32.699,25;3245743854411;33.141,69;5203075766359;31.626,76;437007596267;30.063,33;826983570785;30.297,63;6835037357100
2018-02-13;30.916,43;4587296196010;32.689,86;3244565406682;33.153,34;5194134320472;31.631,55;437232037048;30.074,14;824180848806;30.310,98;6835128172508
2018-02-14;30.903,44;4587137276834;32.664,75;3242008464223;33.133,16;5194474089122;31.609,73;437974999343;30.057,02;824250974476;30.292,67;6830663421577
2018-02-15;30.969,52;4594414224487;32.726,66;3243369198196;33.184,58;5205689261837;31.664,25;440229737600;30.109,31;825748542284;30.348,28;6840563914372
2018-02-16;30.997,93;4595960586755;32.765,61;3246921448410;33.230,59;5214581121776;31.703,55;440253186438;30.140,70;827030592946;30.381,97;6840216177564
2018-02-17;30.997,93;4595960586755;32.765,61;3246921448410;33.230,59;5214581121776;31.703,55;440253186438;30.140,70;827030592946;30.381,97;6840216177564
2018-02-18;30.997,93;4595960586755;32.765,61;3246921448410;33.230,59;5214581121776;31.703,55;440253186438;30.140,70;827030592946;30.381,97;6840216177564
2018-02-19;31.048,59;4601515004607;32.825,55;3251971489176;33.295,16;5222225997889;31.766,27;441411321755;30.187,98;828388130630;30.432,92;6850627467057
2018-02-20;31.104,51;4608366875035;32.888,05;3256280869418;33.353,35;5229381394149;31.818,84;441869327997;30.244,64;829941548241;30.493,37;6863107436541
2018-02-21;31.119,81;4608337850546;32.902,24;3256548835015;33.374,21;5233423947951;31.832,72;442016930099;30.257,43;830641332909;30.505,38;6866085938609
2018-02-22;31.138,67;4609341483727;32.927,50;3258974515353;33.398,35;5235117612876;31.855,06;442054775085;30.272,50;830843868210;30.527,19;6869117935714
2018-02-23;31.155,63;4610289866833;32.942,43;3256003083529;33.412,89;5237001718427;31.869,60;441697534484;30.282,94;831112686089;30.536,62;6870990516140
2018-02-24;31.155,63;4610289866833;32.942,43;3256003083529;33.412,89;5237001718427;31.869,60;441697534484;30.282,94;831112686089;30.536,62;6870990516140
2018-02-25;31.155,63;4610289866833;32.942,43;3256003083529;33.412,89;5237001718427;31.869,60;441697534484;30.282,94;831112686089;30.536,62;6870990516140
2018-02-26;31.159,97;4609914296826;32.945,99;3255561161269;33.416,40;5236505353419;31.879,07;441750924901;30.286,87;831278513665;30.544,24;6872889436045
2018-02-27;31.162,77;4607930857920;32.949,91;3255690012940;33.417,70;5235316666582;31.884,14;441785846250;30.287,60;831636010191;30.552,77;6876926018650
2018-02-28;31.114,67;4627703244487;32.907,76;3264238884918;33.374,03;5261439939092;31.831,24;442170039146;30.247,13;835626034527;30.503,27;6911516655065
2018-03-01;31.101,91;4620850683396;32.898,09;3259448385295;33.359,82;5258237802770;31.828,16;444688470319;30.243,14;834471935577;30.486,95;6900317817462
2018-03-02;31.105,71;4619882435010;32.888,67;3257247278516;33.357,56;5256953612205;31.818,64;444828181309;30.238,73;834598860809;30.486,15;6898644225421
2018-03-03;31.105,71;4619882435010;32.888,67;3257247278516;33.357,56;5256953612205;31.818,64;444828181309;30.238,73;834598860809;30.486,15;6898644225421
2018-03-04;31.105,71;4619882435010;32.888,67;3257247278516;33.357,56;5256953612205;31.818,64;444828181309;30.238,73;834598860809;30.486,15;6898644225421
2018-03-05;31.091,33;4617308547994;32.868,83;3246417517491;33.332,94;5249951002352;31.807,75;443863993956;30.221,99;834126360642;30.472,35;6895024036928
2018-03-06;31.124,39;4621558682497;32.903,38;3249066473984;33.363,23;5252369268728;31.840,65;444129889343;30.249,54;834934181434;30.500,33;6898454959768
2018-03-07;31.135,51;4622080117823;32.921,40;3250839088020;33.373,11;5253122691554;31.844,00;444024291985;30.258,28;834695415079;30.515,69;6904427434710
2018-03-08;31.168,70;4629392391013;32.959,06;3255044460098;33.416,12;5258651355643;31.887,99;444737562047;30.302,93;834708520104;30.547,94;6909437379954
2018-03-09;31.174,50;4631532283611;32.962,64;3255394753308;33.417,91;5258577552604;31.892,37;444650848834;30.306,88;835271863119;30.549,64;6904282849826
2018-03-10;31.174,50;4631532283611;32.962,64;3255394753308;33.417,91;5258577552604;31.892,37;444650848834;30.306,88;835271863119;30.549,64;6904282849826
2018-03-11;31.174,50;4631532283611;32.962,64;3255394753308;33.417,91;5258577552604;31.892,37;444650848834;30.306,88;835271863119;30.549,64;6904282849826
2018-03-12;31.203,19;4625494884192;32.983,23;3249512517148;33.442,98;5260934080741;31.919,17;445214008022;30.322,10;835829279626;30.575,16;6906470243776
2018-03-13;31.299,27;4639170241562;33.083,03;3258859299351;33.550,72;5265341436713;32.013,29;445594741482;30.413,97;835090100204;30.670,19;6924157742539
2018-03-14;31.298,66;4641187236345;33.077,90;3258753915298;33.556,37;5268680363233;32.010,39;445292939483;30.419,02;835782228596;30.675,99;6925053302912
2018-03-15;31.268,51;4634180505803;33.056,60;3254926523333;33.525,61;5265218134559;31.993,37;446294900503;30.393,07;835473094726;30.656,55;6920353954651
2018-03-16;31.283,34;4634995834925;33.075,78;3255183947290;33.542,72;5268087880937;32.012,63;445714214610;30.409,61;836117154537;30.672,29;6918976267550
2018-03-17;31.283,34;4634995834925;33.075,78;3255183947290;33.542,72;5268087880937;32.012,63;445714214610;30.409,61;836117154537;30.672,29;6918976267550
2018-03-18;31.283,34;4634995834925;33.075,78;3255183947290;33.542,72;5268087880937;32.012,63;445714214610;30.409,61;836117154537;30.672,29;6918976267550
2018-03-19;31.341,98;4642820231406;33.135,41;3259973476810;33.597,35;5275394431301;32.066,83;446307297309;30.466,62;837374852840;30.722,44;6929848613265
2018-03-20;31.325,27;4638814461005;33.110,60;3259099271883;33.579,24;5271730124010;32.040,47;446163169978;30.455,54;837096250097;30.703,91;6924693471323
2018-03-21;31.286,24;4633288017326;33.066,25;3256117404185;33.551,45;5268381525885;32.006,51;445808853538;30.414,71;836439085461;30.667,59;6917323695902
2018-03-22;31.272,78;4631665071096;33.047,16;3254826105310;33.528,43;5262632263098;31.978,72;445518282432;30.396,54;836044019100;30.650,15;6913970536145
2018-03-23;31.244,54;4627121356432;33.019,21;3250397996350;33.501,31;5256760588765;31.951,77;445215305638;30.377,87;834861244854;30.640,75;6910667282645
2018-03-24;31.244,54;4627121356432;33.019,21;3250397996350;33.501,31;5256760588765;31.951,77;445215305638;30.377,87;834861244854;30.640,75;6910667282645
2018-03-25;31.244,54;4627121356432;33.019,21;3250397996350;33.501,31;5256760588765;31.951,77;445215305638;30.377,87;834861244854;30.640,75;6910667282645
2018-03-26;31.202,98;4619774726010;32.980,08;3246735770052;33.454,91;5247894782461;31.907,59;444661674632;30.339,90;833751569881;30.602,75;6902023564189
2018-03-27;31.237,76;4624255849058;33.014,32;3250602148525;33.488,90;5252906221868;31.944,90;444985612992;30.368,29;834594141403;30.628,11;6908187228343
2018-03-28;31.280,56;4629518693445;33.067,56;3256572033376;33.542,89;5263290445473;31.991,16;445736030966;30.407,71;836018508249;30.678,06;6922212572630
2018-03-29;31.272,60;4673285698054;33.054,84;3294500744922;33.525,10;5350526284184;31.977,08;468796732786;30.403,37;842558055263;30.667,59;6975813106968
2018-03-30;31.272,60;4673285698054;33.054,84;3294500744922;33.525,10;5350526284184;31.977,08;468796732786;30.403,37;842558055263;30.667,59;6975813106968
2018-03-31;31.272,60;4673285698054;33.054,84;3294500744922;33.525,10;5350526284184;31.977,08;468796732786;30.403,37;842558055263;30.667,59;6975813106968
